building_subtype,climate_zone,year_built,weekly_hours,gfa,fifth_percentile,twenty_fifth_percentile,median,mean,seventy_fifth_percentile,ninety_fifth_percentile,climate_zone_description,year_reported,row_count
All,All,1946-1959,40-48,"1,000 - 4,999",27.95,55.05,74.5,81.712,100.2,141.51,All,2023,50-99
All,All,1946-1959,40-48,"1,000,000+",,,,,,,All,2023,≤5
All,All,1946-1959,40-48,"10,000 - 24,999",7.3,21.7,49.5,53.320567375886526,66.2,105.0,All,2023,100-249
All,All,1946-1959,40-48,"100,000 - 199,999",3.4600000000000004,15.3,43.95,41.28095238095238,53.075,107.38499999999993,All,2023,30-49
All,All,1946-1959,40-48,"200,000 - 499,999",10.345,39.125,50.9,51.86666666666667,65.2,85.61,All,2023,30-49
All,All,1946-1959,40-48,"25,000 - 49,999",6.140000000000001,22.799999999999997,43.4,51.77542857142857,66.19999999999999,113.44999999999999,All,2023,100-249
All,All,1946-1959,40-48,"5,000 - 9,999",15.41,39.95,59.6,75.81927710843374,79.65,116.09999999999995,All,2023,50-99
All,All,1946-1959,40-48,"50,000 - 99,999",5.250000000000001,18.700000000000003,35.3,46.41214953271028,61.15,124.65999999999968,All,2023,100-249
All,All,1946-1959,40-48,"500,000 - 999,999",3.6,8.95,33.85,30.533333333333335,48.25,56.175,All,2023,6-29
All,All,1946-1959,40-48,All,6.21,25.45,49.5,56.80904977375565,70.55,125.77999999999999,All,2023,500-999
All,All,1946-1959,48.01 - 60,"1,000 - 4,999",25.76,56.2,74.8,86.68936170212766,104.45,164.49999999999991,All,2023,30-49
All,All,1946-1959,48.01 - 60,"1,000,000+",,,,,,,All,2023,≤5
All,All,1946-1959,48.01 - 60,"10,000 - 24,999",9.649999999999999,29.849999999999998,47.650000000000006,64.89926470588236,70.95,177.8,All,2023,100-249
All,All,1946-1959,48.01 - 60,"100,000 - 199,999",3.55,18.7,44.9,50.703603603603604,68.65,144.6,All,2023,100-249
All,All,1946-1959,48.01 - 60,"200,000 - 499,999",5.1,21.3,43.1,54.75737704918033,71.8,155.3,All,2023,50-99
All,All,1946-1959,48.01 - 60,"25,000 - 49,999",6.5,23.2,46.5,60.22394366197183,72.3,156.21999999999997,All,2023,100-249
All,All,1946-1959,48.01 - 60,"5,000 - 9,999",15.74,38.8,61.4,73.17640449438203,84.4,128.47999999999996,All,2023,50-99
All,All,1946-1959,48.01 - 60,"50,000 - 99,999",5.015000000000001,14.725,36.25,52.037654320987656,64.925,156.42999999999986,All,2023,100-249
All,All,1946-1959,48.01 - 60,"500,000 - 999,999",6.95,37.7,52.95,55.975,64.7,124.21500000000002,All,2023,6-29
All,All,1946-1959,48.01 - 60,All,5.8,24.25,48.1,60.98813760379597,73.4,155.57999999999998,All,2023,500-999
All,All,1946-1959,60.01 - 84,"1,000 - 4,999",6.55,22.55,54.9,74.6304347826087,100.3,241.45999999999992,All,2023,6-29
All,All,1946-1959,60.01 - 84,"1,000,000+",,,,,,,All,2023,≤5
All,All,1946-1959,60.01 - 84,"10,000 - 24,999",9.709999999999999,28.9,55.1,78.44146341463414,87.44999999999999,220.45999999999992,All,2023,100-249
All,All,1946-1959,60.01 - 84,"100,000 - 199,999",7.72,30.4,52.5,58.494805194805195,72.9,123.08,All,2023,50-99
All,All,1946-1959,60.01 - 84,"200,000 - 499,999",5.8,37.575,51.2,69.18620689655172,78.94999999999999,140.4749999999999,All,2023,50-99
All,All,1946-1959,60.01 - 84,"25,000 - 49,999",10.325,33.25,56.2,77.64537037037037,91.14999999999999,212.0,All,2023,100-249
All,All,1946-1959,60.01 - 84,"5,000 - 9,999",21.87,33.75,59.3,67.73589743589744,93.4,142.74,All,2023,30-49
All,All,1946-1959,60.01 - 84,"50,000 - 99,999",4.825,26.549999999999997,49.5,59.53846153846154,77.4,144.975,All,2023,100-249
All,All,1946-1959,60.01 - 84,"500,000 - 999,999",26.720000000000002,41.2,66.2,65.06923076923077,77.4,121.87999999999995,All,2023,6-29
All,All,1946-1959,60.01 - 84,All,7.7700000000000005,31.275,53.9,70.01567796610169,83.6,184.34499999999997,All,2023,500-999
All,All,1946-1959,84.01-167,"1,000 - 4,999",17.75,29.95,56.9,114.85,168.75,300.225,All,2023,6-29
All,All,1946-1959,84.01-167,"1,000,000+",,,,,,,All,2023,≤5
All,All,1946-1959,84.01-167,"10,000 - 24,999",35.55,53.3,75.9,112.13225806451612,129.4,294.75,All,2023,30-49
All,All,1946-1959,84.01-167,"100,000 - 199,999",16.720000000000002,49.349999999999994,74.8,104.94615384615385,118.85,305.0900000000001,All,2023,30-49
All,All,1946-1959,84.01-167,"200,000 - 499,999",9.59,20.65,40.3,53.07666666666667,76.325,126.83999999999996,All,2023,30-49
All,All,1946-1959,84.01-167,"25,000 - 49,999",24.4,56.3,85.4,145.41475409836065,198.7,343.0,All,2023,50-99
All,All,1946-1959,84.01-167,"5,000 - 9,999",18.12,47.45,64.65,76.575,99.07499999999999,157.59499999999997,All,2023,6-29
All,All,1946-1959,84.01-167,"50,000 - 99,999",11.7,51.875,95.80000000000001,124.39852941176471,201.575,252.14999999999995,All,2023,50-99
All,All,1946-1959,84.01-167,"500,000 - 999,999",4.34,36.775,96.15,80.23,101.2,153.82499999999993,All,2023,6-29
All,All,1946-1959,84.01-167,All,12.775,48.75,77.85,112.657421875,151.8,291.45,All,2023,250-500
All,All,1946-1959,All,"1,000 - 4,999",20.150000000000002,51.625,74.45,91.12735849056604,106.225,226.5849999999998,All,2023,100-249
All,All,1946-1959,All,"1,000,000+",12.530000000000001,47.25,70.6,103.78260869565217,115.9,301.6799999999999,All,2023,6-29
All,All,1946-1959,All,"10,000 - 24,999",9.1,28.8,53.8,66.70729366602687,74.7,176.9,All,2023,500-999
All,All,1946-1959,All,"100,000 - 199,999",4.19,25.25,51.0,64.56789297658862,79.19999999999999,165.28999999999994,All,2023,250-500
All,All,1946-1959,All,"200,000 - 499,999",5.8,33.5,51.0,66.91690821256039,80.15,174.32999999999993,All,2023,100-249
All,All,1946-1959,All,"25,000 - 49,999",7.1,29.075000000000003,51.5,74.52526455026455,83.025,228.02499999999998,All,2023,500-999
All,All,1946-1959,All,"5,000 - 9,999",15.5,41.0,64.4,75.49634551495016,92.2,146.7,All,2023,250-500
All,All,1946-1959,All,"50,000 - 99,999",5.0,21.9,47.6,65.72258652094717,79.7,206.04000000000005,All,2023,500-999
All,All,1946-1959,All,"500,000 - 999,999",3.495,28.400000000000002,56.099999999999994,63.288333333333334,96.125,150.91,All,2023,50-99
All,All,1946-1959,All,All,6.5,29.7,54.0,71.23039617486339,84.42500000000001,198.52500000000003,All,2023,"2,500-9,999"
All,All,1946-1959,Fewer than 40,"1,000 - 4,999",22.7,50.5,78.4,105.08095238095238,97.9,279.9,All,2023,6-29
All,All,1946-1959,Fewer than 40,"1,000,000+",,,,,,,All,2023,≤5
All,All,1946-1959,Fewer than 40,"10,000 - 24,999",8.6,17.049999999999997,27.4,37.997368421052634,47.275,79.07,All,2023,30-49
All,All,1946-1959,Fewer than 40,"100,000 - 199,999",7.595000000000001,22.45,42.35,48.55,67.575,102.42999999999999,All,2023,6-29
All,All,1946-1959,Fewer than 40,"200,000 - 499,999",43.98,53.5,61.2,69.91111111111111,69.5,117.41999999999999,All,2023,6-29
All,All,1946-1959,Fewer than 40,"25,000 - 49,999",4.75,22.1,39.2,40.949019607843134,51.35,87.9,All,2023,50-99
All,All,1946-1959,Fewer than 40,"5,000 - 9,999",14.71,28.75,58.6,61.24814814814815,77.65,129.95,All,2023,6-29
All,All,1946-1959,Fewer than 40,"50,000 - 99,999",3.6350000000000002,13.049999999999999,30.799999999999997,31.625,39.625,70.72,All,2023,6-29
All,All,1946-1959,Fewer than 40,"500,000 - 999,999",,,,,,,All,2023,≤5
All,All,1946-1959,Fewer than 40,All,5.55,21.525,41.4,51.7625,64.75,119.575,All,2023,100-249
All,All,1946-1959,Open Continuously,"1,000 - 4,999",22.31,55.875,90.45,112.5975,136.15,312.98999999999967,All,2023,30-49
All,All,1946-1959,Open Continuously,"1,000,000+",11.18,70.1,115.3,124.44444444444444,168.9,274.32,All,2023,6-29
All,All,1946-1959,Open Continuously,"10,000 - 24,999",33.255,58.15,71.75,73.87884615384615,87.6,128.39999999999998,All,2023,50-99
All,All,1946-1959,Open Continuously,"100,000 - 199,999",34.03,82.55,111.9,134.47727272727272,150.8,248.95,All,2023,6-29
All,All,1946-1959,Open Continuously,"200,000 - 499,999",41.17,63.45,112.7,143.2263157894737,211.6,309.01999999999975,All,2023,6-29
All,All,1946-1959,Open Continuously,"25,000 - 49,999",7.6,68.375,133.2,168.065,224.425,383.90499999999975,All,2023,30-49
All,All,1946-1959,Open Continuously,"5,000 - 9,999",32.29,58.55,85.4,91.10363636363637,103.55000000000001,185.15999999999977,All,2023,50-99
All,All,1946-1959,Open Continuously,"50,000 - 99,999",15.350000000000001,65.125,102.3,119.60833333333333,172.25,265.6,All,2023,30-49
All,All,1946-1959,Open Continuously,"500,000 - 999,999",2.9,15.2,100.3,86.55555555555556,127.0,172.22,All,2023,6-29
All,All,1946-1959,Open Continuously,All,17.62,60.45,89.35,113.34609929078015,137.45,307.2599999999999,All,2023,250-500
All,All,1960-1979,40-48,"1,000 - 4,999",27.880000000000003,61.0,82.6,88.91848906560637,107.85,167.55999999999983,All,2023,500-999
All,All,1960-1979,40-48,"1,000,000+",26.96,44.8,55.3,60.59230769230769,79.9,100.93999999999997,All,2023,6-29
All,All,1960-1979,40-48,"10,000 - 24,999",7.6850000000000005,25.1,46.2,56.2326359832636,74.425,131.47499999999994,All,2023,250-500
All,All,1960-1979,40-48,"100,000 - 199,999",3.4,19.4,44.2,61.401293103448275,67.075,153.87999999999974,All,2023,100-249
All,All,1960-1979,40-48,"200,000 - 499,999",4.1899999999999995,30.35,44.15,55.613846153846154,62.800000000000004,126.26499999999997,All,2023,100-249
All,All,1960-1979,40-48,"25,000 - 49,999",6.575,23.55,44.75,54.868992248062014,67.25,129.9,All,2023,500-999
All,All,1960-1979,40-48,"5,000 - 9,999",20.35,44.725,63.4,71.70109289617487,85.225,151.0,All,2023,250-500
All,All,1960-1979,40-48,"50,000 - 99,999",4.275,13.375,38.4,52.882568807339446,65.4,131.325,All,2023,250-500
All,All,1960-1979,40-48,"500,000 - 999,999",20.54,40.9,56.4,56.954054054054055,70.9,100.59999999999998,All,2023,30-49
All,All,1960-1979,40-48,All,6.3,30.1,53.7,64.03057912209516,82.1,144.2,All,2023,"2,500-9,999"
All,All,1960-1979,48.01 - 60,"1,000 - 4,999",34.8,66.55,91.8,99.98320413436693,121.75,189.49999999999997,All,2023,250-500
All,All,1960-1979,48.01 - 60,"1,000,000+",31.610000000000003,54.5,66.8,69.64285714285714,85.05,112.03999999999999,All,2023,30-49
All,All,1960-1979,48.01 - 60,"10,000 - 24,999",10.2,30.95,52.45,63.0432,79.14999999999999,149.26499999999993,All,2023,500-999
All,All,1960-1979,48.01 - 60,"100,000 - 199,999",3.2,18.275,44.75,59.58283261802575,65.175,183.25,All,2023,250-500
All,All,1960-1979,48.01 - 60,"200,000 - 499,999",7.3500000000000005,33.675,47.2,55.55038167938931,66.775,114.65499999999999,All,2023,250-500
All,All,1960-1979,48.01 - 60,"25,000 - 49,999",5.785,27.825,48.3,58.69941002949852,71.55,139.975,All,2023,500-999
All,All,1960-1979,48.01 - 60,"5,000 - 9,999",21.0,47.85,67.45,78.86732026143791,91.9,178.175,All,2023,250-500
All,All,1960-1979,48.01 - 60,"50,000 - 99,999",3.4,18.5,45.7,61.202910052910056,73.275,162.85000000000002,All,2023,500-999
All,All,1960-1979,48.01 - 60,"500,000 - 999,999",27.325000000000003,41.525,56.95,63.246078431372545,80.275,105.785,All,2023,100-249
All,All,1960-1979,48.01 - 60,All,5.7,31.075000000000003,54.1,66.33004009163803,82.3,161.24499999999998,All,2023,"2,500-9,999"
All,All,1960-1979,60.01 - 84,"1,000 - 4,999",33.515,120.125,447.29999999999995,395.2895833333333,562.275,789.7799999999997,All,2023,100-249
All,All,1960-1979,60.01 - 84,"1,000,000+",48.68,61.5,77.8,75.62558139534883,88.5,116.08999999999999,All,2023,30-49
All,All,1960-1979,60.01 - 84,"10,000 - 24,999",11.67,41.349999999999994,59.8,74.781654676259,86.05,179.57499999999916,All,2023,250-500
All,All,1960-1979,60.01 - 84,"100,000 - 199,999",7.6,30.424999999999997,47.75,63.1620253164557,75.45,164.85499999999982,All,2023,250-500
All,All,1960-1979,60.01 - 84,"200,000 - 499,999",9.995000000000001,29.35,52.55,57.94609929078014,74.15,130.14999999999998,All,2023,250-500
All,All,1960-1979,60.01 - 84,"25,000 - 49,999",10.165000000000001,34.475,50.8,68.485,80.0,161.15999999999977,All,2023,500-999
All,All,1960-1979,60.01 - 84,"5,000 - 9,999",18.345000000000002,47.725,70.75,86.41036585365853,103.1,211.71499999999983,All,2023,100-249
All,All,1960-1979,60.01 - 84,"50,000 - 99,999",7.9,34.775,56.5,69.45017605633802,84.225,167.04499999999996,All,2023,500-999
All,All,1960-1979,60.01 - 84,"500,000 - 999,999",26.24,44.1,59.3,67.59529411764706,78.1,114.17999999999996,All,2023,50-99
All,All,1960-1979,60.01 - 84,All,10.265,35.7,58.3,98.25261958997721,91.075,445.67499999999995,All,2023,"2,500-9,999"
All,All,1960-1979,84.01-167,"1,000 - 4,999",35.63,419.275,515.3,470.675,591.85,736.3949999999999,All,2023,50-99
All,All,1960-1979,84.01-167,"1,000,000+",12.38,50.3,75.0,123.62,103.1,499.07999999999987,All,2023,6-29
All,All,1960-1979,84.01-167,"10,000 - 24,999",19.3,52.0,65.1,100.79558011049724,91.6,313.7,All,2023,100-249
All,All,1960-1979,84.01-167,"100,000 - 199,999",16.0,36.45,67.7,87.11818181818182,97.3,193.9,All,2023,100-249
All,All,1960-1979,84.01-167,"200,000 - 499,999",11.605,30.525,43.95,70.1923076923077,97.55,204.42,All,2023,100-249
All,All,1960-1979,84.01-167,"25,000 - 49,999",23.340000000000003,54.2,151.2,157.82134831460675,225.2,331.85,All,2023,250-500
All,All,1960-1979,84.01-167,"5,000 - 9,999",15.615000000000004,55.95,72.69999999999999,74.290625,92.44999999999999,128.75,All,2023,50-99
All,All,1960-1979,84.01-167,"50,000 - 99,999",15.47,45.2,104.5,132.3641791044776,177.15,288.93,All,2023,250-500
All,All,1960-1979,84.01-167,"500,000 - 999,999",9.91,37.35,66.8,88.44571428571429,129.60000000000002,205.57999999999964,All,2023,30-49
All,All,1960-1979,84.01-167,All,16.365,44.4,81.25,136.4282544378698,170.225,482.96000000000004,All,2023,"1,000-2,499"
All,All,1960-1979,All,"1,000 - 4,999",27.8,64.0,95.5,171.39125642909625,151.4,593.8,All,2023,"1,000-2,499"
All,All,1960-1979,All,"1,000,000+",22.895000000000003,53.875,72.1,92.3,89.9,248.09999999999977,All,2023,100-249
All,All,1960-1979,All,"10,000 - 24,999",9.59,34.0,56.1,69.09117127722189,82.65,169.67999999999984,All,2023,"1,000-2,499"
All,All,1960-1979,All,"100,000 - 199,999",5.025,29.0,48.7,70.28266494178526,78.7,193.625,All,2023,"1,000-2,499"
All,All,1960-1979,All,"200,000 - 499,999",8.2,32.1,48.8,65.09310722100656,74.57499999999999,168.6,All,2023,500-999
All,All,1960-1979,All,"25,000 - 49,999",7.6,31.55,51.7,75.02553290083411,86.875,233.31000000000012,All,2023,"1,000-2,499"
All,All,1960-1979,All,"5,000 - 9,999",18.825000000000003,48.75,68.95,78.6804618117229,93.775,162.35,All,2023,"1,000-2,499"
All,All,1960-1979,All,"50,000 - 99,999",4.9,26.225,54.0,76.25017809439002,89.2,217.95,All,2023,"1,000-2,499"
All,All,1960-1979,All,"500,000 - 999,999",16.450000000000003,41.55,57.1,69.20446735395188,81.80000000000001,166.25,All,2023,250-500
All,All,1960-1979,All,All,7.7,34.9,58.6,84.79480338303252,92.6,251.04000000000013,All,2023,"10,000-49,999"
All,All,1960-1979,Fewer than 40,"1,000 - 4,999",15.594999999999999,42.975,71.85,86.52307692307693,97.80000000000001,248.3149999999999,All,2023,50-99
All,All,1960-1979,Fewer than 40,"1,000,000+",,,,,,,All,2023,≤5
All,All,1960-1979,Fewer than 40,"10,000 - 24,999",9.530000000000001,26.65,44.95,62.06442307692308,72.375,186.15999999999974,All,2023,100-249
All,All,1960-1979,Fewer than 40,"100,000 - 199,999",7.96,31.8,45.15,53.00135135135135,61.775,130.66999999999996,All,2023,50-99
All,All,1960-1979,Fewer than 40,"200,000 - 499,999",11.92,34.574999999999996,44.45,44.63636363636363,55.4,72.995,All,2023,30-49
All,All,1960-1979,Fewer than 40,"25,000 - 49,999",10.05,24.4,44.3,50.323076923076925,65.44999999999999,105.45,All,2023,50-99
All,All,1960-1979,Fewer than 40,"5,000 - 9,999",7.94,38.3,51.1,57.81428571428572,72.0,138.67999999999995,All,2023,30-49
All,All,1960-1979,Fewer than 40,"50,000 - 99,999",7.69,29.45,42.2,50.137288135593224,59.099999999999994,105.03999999999998,All,2023,50-99
All,All,1960-1979,Fewer than 40,"500,000 - 999,999",30.050000000000004,44.55,49.5,53.2875,53.05,100.575,All,2023,6-29
All,All,1960-1979,Fewer than 40,All,9.2,31.225,49.05,58.813899613899615,70.1,137.40999999999997,All,2023,500-999
All,All,1960-1979,Open Continuously,"1,000 - 4,999",36.02,64.0,99.3,125.92753623188406,133.8,298.99999999999994,All,2023,50-99
All,All,1960-1979,Open Continuously,"1,000,000+",83.44,116.9,231.2,232.64444444444445,295.0,400.7,All,2023,6-29
All,All,1960-1979,Open Continuously,"10,000 - 24,999",31.66,59.225,77.65,85.4246835443038,98.17500000000001,167.40500000000003,All,2023,100-249
All,All,1960-1979,Open Continuously,"100,000 - 199,999",23.26,57.7,108.9,183.49420289855072,224.0,592.8599999999997,All,2023,50-99
All,All,1960-1979,Open Continuously,"200,000 - 499,999",10.975,61.45,97.5,155.77727272727273,219.15,369.45,All,2023,50-99
All,All,1960-1979,Open Continuously,"25,000 - 49,999",17.625,52.2,81.25,121.07830188679246,163.825,309.7,All,2023,100-249
All,All,1960-1979,Open Continuously,"5,000 - 9,999",31.160000000000004,67.8,84.0,92.9909604519774,106.9,167.47999999999996,All,2023,100-249
All,All,1960-1979,Open Continuously,"50,000 - 99,999",46.97,81.55,152.55,165.04239130434783,210.97500000000002,348.6550000000001,All,2023,50-99
All,All,1960-1979,Open Continuously,"500,000 - 999,999",13.275000000000002,45.275,95.94999999999999,117.89375,207.8,245.95000000000002,All,2023,6-29
All,All,1960-1979,Open Continuously,All,23.545000000000005,62.275000000000006,88.25,122.81653543307087,139.375,320.1599999999996,All,2023,500-999
All,All,1980-1999,40-48,"1,000 - 4,999",39.0,65.1,85.1,90.36107023411371,106.25,156.11999999999998,All,2023,"1,000-2,499"
All,All,1980-1999,40-48,"1,000,000+",25.56,30.950000000000003,43.1,94.36086956521739,48.099999999999994,428.7399999999994,All,2023,6-29
All,All,1980-1999,40-48,"10,000 - 24,999",10.360000000000001,27.7,48.9,58.935073409461666,71.8,138.51999999999992,All,2023,500-999
All,All,1980-1999,40-48,"100,000 - 199,999",4.025,27.55,44.45,55.98175965665236,60.075,117.125,All,2023,250-500
All,All,1980-1999,40-48,"200,000 - 499,999",4.84,32.3,42.3,50.20323624595469,52.8,102.45999999999997,All,2023,250-500
All,All,1980-1999,40-48,"25,000 - 49,999",7.4,27.5,45.849999999999994,59.16995798319328,72.42500000000001,147.5,All,2023,250-500
All,All,1980-1999,40-48,"5,000 - 9,999",18.765,41.125,57.55,65.37460567823344,77.325,122.105,All,2023,500-999
All,All,1980-1999,40-48,"50,000 - 99,999",4.4,25.1,44.25,58.73761194029851,67.675,157.60999999999999,All,2023,500-999
All,All,1980-1999,40-48,"500,000 - 999,999",25.2,38.5,45.0,52.49629629629629,51.8,128.2,All,2023,50-99
All,All,1980-1999,40-48,All,9.430000000000001,37.650000000000006,58.6,68.84967484791274,86.15,146.9,All,2023,"2,500-9,999"
All,All,1980-1999,48.01 - 60,"1,000 - 4,999",21.860000000000003,58.1,80.1,87.287617260788,104.9,168.76,All,2023,500-999
All,All,1980-1999,48.01 - 60,"1,000,000+",12.1,35.4,45.7,45.596923076923076,51.7,74.35999999999999,All,2023,50-99
All,All,1980-1999,48.01 - 60,"10,000 - 24,999",7.3,29.5,49.9,62.30390492359932,77.5,148.92000000000002,All,2023,500-999
All,All,1980-1999,48.01 - 60,"100,000 - 199,999",4.0,28.6,46.0,53.43353233830846,62.5,125.97999999999999,All,2023,"1,000-2,499"
All,All,1980-1999,48.01 - 60,"200,000 - 499,999",5.45,33.5,44.4,51.68330605564648,58.849999999999994,107.4,All,2023,500-999
All,All,1980-1999,48.01 - 60,"25,000 - 49,999",4.8,30.799999999999997,49.6,61.62166666666667,75.35,141.9149999999998,All,2023,500-999
All,All,1980-1999,48.01 - 60,"5,000 - 9,999",14.58,41.0,60.9,68.36234096692112,82.3,145.81999999999996,All,2023,250-500
All,All,1980-1999,48.01 - 60,"50,000 - 99,999",2.5,9.5,40.3,51.470876288659795,65.775,145.1449999999996,All,2023,"1,000-2,499"
All,All,1980-1999,48.01 - 60,"500,000 - 999,999",12.100000000000003,36.1,44.0,50.61212121212121,57.0,101.53999999999995,All,2023,100-249
All,All,1980-1999,48.01 - 60,All,3.7,28.5,48.3,58.77909713683471,73.5,143.53999999999996,All,2023,"2,500-9,999"
All,All,1980-1999,60.01 - 84,"1,000 - 4,999",50.2,77.325,105.80000000000001,245.16695906432747,457.3,604.9,All,2023,"1,000-2,499"
All,All,1980-1999,60.01 - 84,"1,000,000+",13.025,42.400000000000006,52.6,56.519444444444446,62.4,94.6,All,2023,30-49
All,All,1980-1999,60.01 - 84,"10,000 - 24,999",18.0,37.025,49.7,61.34042316258352,67.175,126.73499999999997,All,2023,500-999
All,All,1980-1999,60.01 - 84,"100,000 - 199,999",8.38,31.3,46.0,58.01655629139073,71.7,146.44,All,2023,"1,000-2,499"
All,All,1980-1999,60.01 - 84,"200,000 - 499,999",12.46,41.4,53.9,63.10423529411765,70.6,135.29999999999978,All,2023,250-500
All,All,1980-1999,60.01 - 84,"25,000 - 49,999",20.3,37.5,48.9,60.00625434329395,65.4,130.94999999999996,All,2023,"1,000-2,499"
All,All,1980-1999,60.01 - 84,"5,000 - 9,999",20.845000000000002,46.675000000000004,62.099999999999994,76.89011627906977,85.15,166.295,All,2023,250-500
All,All,1980-1999,60.01 - 84,"50,000 - 99,999",9.185,30.3,46.4,61.30148095909732,72.975,148.86499999999984,All,2023,"1,000-2,499"
All,All,1980-1999,60.01 - 84,"500,000 - 999,999",20.9,42.6,52.1,58.4404958677686,65.3,108.3,All,2023,100-249
All,All,1980-1999,60.01 - 84,All,16.1,37.1,54.7,89.23691602602011,82.9,423.18499999999995,All,2023,"2,500-9,999"
All,All,1980-1999,84.01-167,"1,000 - 4,999",127.96000000000001,215.6,266.0,321.82283770651117,423.9,640.6999999999998,All,2023,"1,000-2,499"
All,All,1980-1999,84.01-167,"1,000,000+",12.575000000000001,25.4,34.0,45.22142857142857,51.175,91.59999999999998,All,2023,6-29
All,All,1980-1999,84.01-167,"10,000 - 24,999",30.205000000000002,53.8,64.3,67.7205035971223,73.6,98.49499999999995,All,2023,"1,000-2,499"
All,All,1980-1999,84.01-167,"100,000 - 199,999",23.275000000000002,53.075,68.8,73.6665873015873,86.1,138.33499999999998,All,2023,"1,000-2,499"
All,All,1980-1999,84.01-167,"200,000 - 499,999",6.925000000000001,27.225,42.45,65.28219696969697,79.125,167.78,All,2023,250-500
All,All,1980-1999,84.01-167,"25,000 - 49,999",31.89,87.75,140.0,132.308617095205,158.85000000000002,236.10999999999999,All,2023,"1,000-2,499"
All,All,1980-1999,84.01-167,"5,000 - 9,999",24.835,58.525,69.8,77.49977777777778,82.975,126.36999999999993,All,2023,250-500
All,All,1980-1999,84.01-167,"50,000 - 99,999",21.145000000000003,77.57499999999999,143.85,143.69211956521738,188.1,255.22499999999997,All,2023,"1,000-2,499"
All,All,1980-1999,84.01-167,"500,000 - 999,999",5.585,21.45,41.9,66.1375,69.125,134.99999999999994,All,2023,30-49
All,All,1980-1999,84.01-167,All,25.745000000000005,58.324999999999996,82.7,129.28831275720165,161.7,342.75999999999914,All,2023,"2,500-9,999"
All,All,1980-1999,All,"1,000 - 4,999",37.040000000000006,73.1,102.7,183.12075029308323,243.1,551.4799999999999,All,2023,"2,500-9,999"
All,All,1980-1999,All,"1,000,000+",12.700000000000001,32.4,45.7,62.40362694300518,62.0,143.85999999999987,All,2023,100-249
All,All,1980-1999,All,"10,000 - 24,999",15.045000000000002,42.5,61.0,66.6549885583524,76.8,127.07500000000009,All,2023,"2,500-9,999"
All,All,1980-1999,All,"100,000 - 199,999",6.5,35.4,53.2,64.46511002444987,76.3,144.71999999999989,All,2023,"2,500-9,999"
All,All,1980-1999,All,"200,000 - 499,999",7.055000000000002,33.625,45.45,59.900322927879444,63.45,146.41999999999962,All,2023,"1,000-2,499"
All,All,1980-1999,All,"25,000 - 49,999",14.5,40.0,61.55,87.79414027149322,134.0,206.32000000000008,All,2023,"2,500-9,999"
All,All,1980-1999,All,"5,000 - 9,999",19.080000000000002,46.5,64.6,73.45932284215546,84.6,145.3,All,2023,"1,000-2,499"
All,All,1980-1999,All,"50,000 - 99,999",3.830000000000001,30.3,55.4,83.53487660225751,111.0,229.86999999999998,All,2023,"2,500-9,999"
All,All,1980-1999,All,"500,000 - 999,999",14.505,36.8,47.1,60.248051948051945,63.5,137.36999999999995,All,2023,250-500
All,All,1980-1999,All,All,9.605000000000018,40.0,62.4,91.38903713586836,98.7,264.4949999999997,All,2023,"10,000-49,999"
All,All,1980-1999,Fewer than 40,"1,000 - 4,999",13.92,38.15,70.1,70.91456310679612,99.85,143.77999999999992,All,2023,100-249
All,All,1980-1999,Fewer than 40,"1,000,000+",16.6,24.95,35.150000000000006,40.375,43.4,97.575,All,2023,6-29
All,All,1980-1999,Fewer than 40,"10,000 - 24,999",9.5,26.475,44.05,73.94393939393939,75.77499999999999,170.60000000000002,All,2023,50-99
All,All,1980-1999,Fewer than 40,"100,000 - 199,999",20.325,35.65,43.349999999999994,51.715730337078654,52.175000000000004,82.46000000000001,All,2023,100-249
All,All,1980-1999,Fewer than 40,"200,000 - 499,999",25.26,31.7,39.1,41.61176470588235,45.9,65.50000000000001,All,2023,100-249
All,All,1980-1999,Fewer than 40,"25,000 - 49,999",10.39,29.5,45.3,45.7,59.65,92.15999999999994,All,2023,50-99
All,All,1980-1999,Fewer than 40,"5,000 - 9,999",10.68,27.8,48.2,59.98695652173913,72.9,141.43999999999994,All,2023,50-99
All,All,1980-1999,Fewer than 40,"50,000 - 99,999",10.42,33.5,46.0,54.55034013605442,63.95,121.26999999999997,All,2023,100-249
All,All,1980-1999,Fewer than 40,"500,000 - 999,999",18.16,31.55,39.6,43.02173913043478,44.35,93.73999999999995,All,2023,6-29
All,All,1980-1999,Fewer than 40,All,12.180000000000001,31.825,43.2,54.10871121718377,62.175000000000004,116.24499999999995,All,2023,500-999
All,All,1980-1999,Open Continuously,"1,000 - 4,999",16.640000000000004,46.95,100.5,118.92025316455697,151.05,283.39999999999986,All,2023,50-99
All,All,1980-1999,Open Continuously,"1,000,000+",17.840000000000007,68.4,91.9,118.516,140.6,323.2199999999999,All,2023,6-29
All,All,1980-1999,Open Continuously,"10,000 - 24,999",35.199999999999996,69.05,81.2,84.95578358208955,96.3,129.9,All,2023,500-999
All,All,1980-1999,Open Continuously,"100,000 - 199,999",18.415000000000003,56.949999999999996,106.5,165.5266129032258,191.85,591.1849999999996,All,2023,100-249
All,All,1980-1999,Open Continuously,"200,000 - 499,999",8.45,57.675000000000004,93.05000000000001,143.57395833333334,151.025,417.6,All,2023,50-99
